Time	[X]	[Y]	Values[T1]	Values[T3]
0	1	0	0	0
0.05	1.05	0	0	0
0.1	1.1	0	0	0
0.15	1.15	0	0	0
0.2	1.2	0	0	0
0.25	1.25	0	0	0
0.3	1.3	0	0	0
0.35	1.35	0	0	0
0.4	1.4	0	0	0
0.45	1.45	0	0	0
0.5	1.5	0	0	0
0.55	1.55	0	0	0
0.6	1.6	0	0	0
0.65	1.65	0	0	0
0.7	1.7	0	0	0
0.75	1.75	0	0	0
0.8	1.8	0	0	0
0.85	1.85	0	0	0
0.9	1.9	0	0	0
0.95	1.95	0	0	0
1	2	0	0	0
1	2	0	1	0
1.05	2.05	0	1	0
1.1	2.1	0	1	0
1.15	2.15	0	1	0
1.2	2.2	0	1	0
1.25	2.25	0	1	0
1.3	2.3	0	1	0
1.35	2.35	0	1	0
1.4	2.4	0	1	0
1.45	2.45	0	1	0
1.5	2.5	0	1	0
1.55	2.55	0	1	0
1.6	2.6	0	1	0
1.65	2.65	0	1	0
1.7	2.7	0	1	0
1.75	2.75	0	1	0
1.8	2.8	0	1	0
1.85	2.85	0	1	0
1.9	2.9	0	1	0
1.95	2.95	0	1	0
2	3	0	1	0
2.05	3.05	0	1	0
2.1	3.1	0	1	0
2.141593	3.141593	0	1	0
2.141593	3.141593	1	1	1
2.15	3.15	1	1	1
2.2	3.2	1	1	1
2.25	3.25	1	1	1
2.3	3.3	1	1	1
2.35	3.35	1	1	1
2.4	3.4	1	1	1
2.45	3.45	1	1	1
2.5	3.5	1	1	1
2.55	3.55	1	1	1
2.6	3.6	1	1	1
2.65	3.65	1	1	1
2.7	3.7	1	1	1
2.75	3.75	1	1	1
2.8	3.8	1	1	1
2.85	3.85	1	1	1
2.9	3.9	1	1	1
2.95	3.95	1	1	1
3	4	1	1	1
3.05	4.05	1	1	1
3.1	4.1	1	1	1
3.15	4.15	1	1	1
3.2	4.2	1	1	1
3.25	4.25	1	1	1
3.3	4.3	1	1	1
3.35	4.35	1	1	1
3.4	4.4	1	1	1
3.45	4.45	1	1	1
3.5	4.5	1	1	1
3.55	4.55	1	1	1
3.6	4.6	1	1	1
3.65	4.65	1	1	1
3.7	4.7	1	1	1
3.75	4.75	1	1	1
3.8	4.8	1	1	1
3.85	4.85	1	1	1
3.9	4.9	1	1	1
3.95	4.95	1	1	1
4	5	1	1	1
4.05	5.05	1	1	1
4.1	5.1	1	1	1
4.15	5.15	1	1	1
4.2	5.2	1	1	1
4.25	5.25	1	1	1
4.3	5.3	1	1	1
4.35	5.35	1	1	1
4.4	5.4	1	1	1
4.45	5.45	1	1	1
4.5	5.5	1	1	1
4.55	5.55	1	1	1
4.6	5.6	1	1	1
4.65	5.65	1	1	1
4.7	5.7	1	1	1
4.75	5.75	1	1	1
4.8	5.8	1	1	1
4.85	5.85	1	1	1
4.9	5.9	1	1	1
4.95	5.95	1	1	1
5	6	1	1	1
