Time	[A]	[B]	Values[X]	Values[Y]
0	6	0	0	0
0.02	5.859375	0.0703125	0	0
0.04	5.725191	0.1374046	0	0
0.06	5.597015	0.2014925	0	0
0.08	5.474453	0.2627737	0	0
0.1	5.357143	0.3214286	0	0
0.12	5.244755	0.3776224	0	0
0.14	5.136986	0.4315069	0	0
0.16	5.033557	0.4832215	0	0
0.18	4.934211	0.5328947	0	0
0.2	4.83871	0.5806452	0	0
0.22	4.746835	0.6265823	0	0
0.24	4.658385	0.6708075	0	0
0.26	4.573171	0.7134146	0	0
0.28	4.491018	0.754491	0	0
0.3	4.411765	0.7941177	0	0
0.32	4.33526	0.83237	0	0
0.34	4.261364	0.8693182	0	0
0.36	4.189944	0.905028	0	0
0.38	4.120879	0.9395605	0	0
0.4	4.054054	0.972973	0	0
0.42	3.989362	1.005319	0	0
0.44	3.926701	1.036649	0	0
0.46	3.865979	1.06701	0	0
0.48	3.807107	1.096447	0	0
0.5	3.75	1.125	0	0
0.52	3.694581	1.152709	0	0
0.54	3.640777	1.179612	0	0
0.56	3.588517	1.205742	0	0
0.58	3.537736	1.231132	0	0
0.6	3.488372	1.255814	0	0
0.62	3.440367	1.279817	0	0
0.64	3.393665	1.303167	0	0
0.66	3.348214	1.325893	0	0
0.68	3.303965	1.348018	0	0
0.7	3.260869	1.369565	0	0
0.72	3.218884	1.390558	0	0
0.74	3.177966	1.411017	0	0
0.76	3.138075	1.430962	0	0
0.78	3.099173	1.450413	0	0
0.8	3.061224	1.469388	0	0
0.82	3.024193	1.487903	0	0
0.8333332	3	1.5	0	0
0.8333332	3	1.5	1	2
0.84	2.988048	1.505976	1	2
0.86	2.952756	1.523622	1	2
0.88	2.918288	1.540856	1	2
0.9	2.884616	1.557692	1	2
0.92	2.851711	1.574144	1	2
0.94	2.819549	1.590225	1	2
0.96	2.788104	1.605948	1	2
0.98	2.757353	1.621323	1	2
1	2.727273	1.636364	1	2
1.02	2.697842	1.651079	1	2
1.04	2.669039	1.66548	1	2
1.06	2.640845	1.679577	1	2
1.08	2.613241	1.69338	1	2
1.1	2.586207	1.706897	1	2
1.12	2.559727	1.720136	1	2
1.14	2.533784	1.733108	1	2
1.16	2.508361	1.745819	1	2
1.18	2.483444	1.758278	1	2
1.2	2.459016	1.770492	1	2
1.22	2.435065	1.782467	1	2
1.24	2.411576	1.794212	1	2
1.26	2.388535	1.805732	1	2
1.28	2.365931	1.817035	1	2
1.3	2.34375	1.828125	1	2
1.32	2.321982	1.839009	1	2
1.34	2.300614	1.849693	1	2
1.36	2.279635	1.860182	1	2
1.38	2.259036	1.870482	1	2
1.4	2.238806	1.880597	1	2
1.42	2.218935	1.890532	1	2
1.44	2.199414	1.900293	1	2
1.46	2.180233	1.909884	1	2
1.48	2.161383	1.919308	1	2
1.5	2.142857	1.928571	1	2
1.52	2.124646	1.937677	1	2
1.54	2.106742	1.946629	1	2
1.56	2.089137	1.955432	1	2
1.58	2.071823	1.964088	1	2
1.6	2.054795	1.972603	1	2
1.62	2.038044	1.980978	1	2
1.64	2.021563	1.989218	1	2
1.66	2.005348	1.997326	1	2
1.68	1.98939	2.005305	1	2
1.7	1.973684	2.013158	1	2
1.72	1.958225	2.020888	1	2
1.74	1.943005	2.028497	1	2
1.76	1.928021	2.03599	1	2
1.78	1.913265	2.043367	1	2
1.8	1.898734	2.050633	1	2
1.82	1.884422	2.057789	1	2
1.84	1.870324	2.064838	1	2
1.86	1.856436	2.071782	1	2
1.88	1.842752	2.078624	1	2
1.9	1.829268	2.085366	1	2
1.92	1.815981	2.09201	1	2
1.94	1.802885	2.098558	1	2
1.96	1.789976	2.105012	1	2
1.98	1.777251	2.111374	1	2
2	1.764706	2.117647	1	2
