Time	Compartments[Venous balloon].Volume	Values[is_rising]	Values[is_falling]	Values[is_maximum]	Values[slope_up]	Values[maximum]	Values[slope_down]	Values[F_in]	Values[F_out]
0	0.0237	1	0	0	0	0.006	0.438	0.012	0.012
1.5	0.02377025	1	0	0	0.0018	0.006	0.4362	0.0138	0.01370753
3	0.02397412	1	0	0	0.0036	0.006	0.4344	0.0156	0.01542165
4.5	0.02430242	1	0	0	0.0054	0.006	0.4326	0.0174	0.01714151
6	0.02471492	0	0	1	0.0072	0.006	0.4308	0.018	0.01773029
7.5	0.02510383	0	0	1	0.009	0.006	0.429	0.018	0.01775101
9	0.02546238	0	0	1	0.0108	0.006	0.4272	0.018	0.01777074
10.5	0.02579213	0	0	1	0.0126	0.006	0.4254	0.018	0.01778942
12	0.02609468	0	0	1	0.0144	0.006	0.4236	0.018	0.017807
13.5	0.02637167	0	0	1	0.0162	0.006	0.4218	0.018	0.01782348
15	0.02662478	0	0	1	0.018	0.006	0.42	0.018	0.01783886
16.5	0.02685565	0	0	1	0.0198	0.006	0.4182	0.018	0.01785315
18	0.02706588	0	0	1	0.0216	0.006	0.4164	0.018	0.01786638
19.5	0.02725702	0	0	1	0.0234	0.006	0.4146	0.018	0.01787859
21	0.02743059	0	0	1	0.0252	0.006	0.4128	0.018	0.01788983
22.5	0.02758798	0	0	1	0.027	0.006	0.411	0.018	0.01790015
24	0.02773056	0	0	1	0.0288	0.006	0.4092	0.018	0.0179096
25.5	0.02785958	0	0	1	0.0306	0.006	0.4074	0.018	0.01791824
27	0.02797622	0	0	1	0.0324	0.006	0.4056	0.018	0.01792612
28.5	0.02808158	0	0	1	0.0342	0.006	0.4038	0.018	0.01793329
30	0.02817668	0	0	1	0.036	0.006	0.402	0.018	0.01793981
31.5	0.02826246	0	0	1	0.0378	0.006	0.4002	0.018	0.01794572
33	0.02833979	0	0	1	0.0396	0.006	0.3984	0.018	0.01795109
34.5	0.02840945	0	0	1	0.0414	0.006	0.3966	0.018	0.01795595
36	0.02847218	0	0	1	0.0432	0.006	0.3948	0.018	0.01796034
37.5	0.02852864	0	0	1	0.045	0.006	0.393	0.018	0.01796431
39	0.02857943	0	0	1	0.0468	0.006	0.3912	0.018	0.0179679
40.5	0.02862512	0	0	1	0.0486	0.006	0.3894	0.018	0.01797114
42	0.02866619	0	0	1	0.0504	0.006	0.3876	0.018	0.01797405
43.5	0.0287031	0	0	1	0.0522	0.006	0.3858	0.018	0.01797668
45	0.02873627	0	0	1	0.054	0.006	0.384	0.018	0.01797905
46.5	0.02876607	0	0	1	0.0558	0.006	0.3822	0.018	0.01798118
48	0.02879283	0	0	1	0.0576	0.006	0.3804	0.018	0.0179831
49.5	0.02881686	0	0	1	0.0594	0.006	0.3786	0.018	0.01798483
51	0.02883843	0	0	1	0.0612	0.006	0.3768	0.018	0.01798638
52.5	0.0288578	0	0	1	0.063	0.006	0.375	0.018	0.01798777
54	0.02887518	0	0	1	0.0648	0.006	0.3732	0.018	0.01798903
55.5	0.02889078	0	0	1	0.0666	0.006	0.3714	0.018	0.01799015
57	0.02890477	0	0	1	0.0684	0.006	0.3696	0.018	0.01799117
58.5	0.02891733	0	0	1	0.0702	0.006	0.3678	0.018	0.01799207
60	0.0289286	0	0	1	0.072	0.006	0.366	0.018	0.01799289
61.5	0.0289387	0	0	1	0.0738	0.006	0.3642	0.018	0.01799362
63	0.02894777	0	0	1	0.0756	0.006	0.3624	0.018	0.01799428
64.5	0.0289559	0	0	1	0.0774	0.006	0.3606	0.018	0.01799487
66	0.02896319	0	0	1	0.0792	0.006	0.3588	0.018	0.0179954
67.5	0.02896973	0	0	1	0.081	0.006	0.357	0.018	0.01799587
69	0.0289756	0	0	1	0.0828	0.006	0.3552	0.018	0.0179963
70.5	0.02898086	0	0	1	0.0846	0.006	0.3534	0.018	0.01799668
72	0.02898557	0	0	1	0.0864	0.006	0.3516	0.018	0.01799702
73.5	0.0289898	0	0	1	0.0882	0.006	0.3498	0.018	0.01799733
75	0.0289936	0	0	1	0.09	0.006	0.348	0.018	0.01799761
76.5	0.028997	0	0	1	0.0918	0.006	0.3462	0.018	0.01799785
78	0.02900004	0	0	1	0.0936	0.006	0.3444	0.018	0.01799808
79.5	0.02900278	0	0	1	0.0954	0.006	0.3426	0.018	0.01799828
81	0.02900523	0	0	1	0.0972	0.006	0.3408	0.018	0.01799845
82.5	0.02900743	0	0	1	0.099	0.006	0.339	0.018	0.01799861
84	0.02900939	0	0	1	0.1008	0.006	0.3372	0.018	0.01799876
85.5	0.02901116	0	0	1	0.1026	0.006	0.3354	0.018	0.01799889
87	0.02901274	0	0	1	0.1044	0.006	0.3336	0.018	0.017999
88.5	0.02901416	0	0	1	0.1062	0.006	0.3318	0.018	0.0179991
90	0.02901544	0	0	1	0.108	0.006	0.33	0.018	0.0179992
91.5	0.02901658	0	0	1	0.1098	0.006	0.3282	0.018	0.01799928
93	0.0290176	0	0	1	0.1116	0.006	0.3264	0.018	0.01799935
94.5	0.02901852	0	0	1	0.1134	0.006	0.3246	0.018	0.01799942
96	0.02901934	0	0	1	0.1152	0.006	0.3228	0.018	0.01799948
97.5	0.02902008	0	0	1	0.117	0.006	0.321	0.018	0.01799954
99	0.02902074	0	0	1	0.1188	0.006	0.3192	0.018	0.01799958
