Time	[A]	[B]	Values[Event Time 1]	Values[Event Counter 1]	Values[Event Time 2]	Values[Event Counter 2]
0	1	0	0	0	0	0
1	0.9048374	0.09516258	0	0	0	0
2	0.8187307	0.1812692	0	0	0	0
3	0.7408182	0.2591818	0	0	0	0
4	0.67032	0.3296799	0	0	0	0
5	0.6065306	0.3934693	0	0	0	0
6	0.5488116	0.4511883	0	0	0	0
7	0.4965853	0.5034147	0	0	0	0
8	0.4493289	0.550671	0	0	0	0
9	0.4065696	0.5934303	0	0	0	0
10	0.3678794	0.6321205	0	0	0	0
11	0.3328711	0.6671289	0	0	0	0
12	0.3011942	0.6988058	0	0	0	0
13	0.2725318	0.7274682	0	0	0	0
14	0.2465969	0.753403	0	0	0	0
15	0.2231301	0.7768698	0	0	0	0
16	0.2018965	0.7981035	0	0	0	0
17	0.1826835	0.8173165	0	0	0	0
18	0.1652989	0.8347011	0	0	0	0
19	0.1495686	0.8504314	0	0	0	0
20	0.1353353	0.8646647	0	0	0	0
21	0.1224564	0.8775436	0	0	0	0
22	0.1108031	0.8891968	0	0	0	0
23	0.1002588	0.8997411	0	0	0	0
24	0.9071794	0.9928205	23.02585	1	0	0
25	0.8208499	1.07915	23.02585	1	0	0
26	0.7427357	1.157264	23.02585	1	0	0
27	0.6720549	1.227945	23.02585	1	0	0
28	0.6081005	1.291899	23.02585	1	0	0
29	0.5502322	1.349768	23.02585	1	0	0
30	0.4978706	1.402129	23.02585	1	0	0
31	0.450492	1.449508	23.02585	1	0	0
32	0.407622	1.492378	23.02585	1	0	0
33	0.3688316	1.531168	23.02585	1	0	0
34	0.3337327	1.566267	23.02585	1	0	0
35	0.3019738	1.598026	23.02585	1	0	0
36	0.2732372	1.626763	23.02585	1	0	0
37	0.2472352	1.652765	23.02585	1	0	0
38	0.2237077	1.676292	23.02585	1	0	0
39	0.2024191	1.697581	23.02585	1	0	0
40	0.1831564	1.716844	23.02585	1	0	0
41	0.1657267	1.734273	23.02585	1	0	0
42	0.1499557	1.750044	23.02585	1	0	0
43	0.1356856	1.764314	23.02585	1	0	0
44	0.1227734	1.777227	23.02585	1	0	0
45	0.1110899	1.78891	23.02585	1	0	0
46	0.1005183	1.799482	23.02585	1	0	0
47	0.9095277	1.890472	46.0517	2	46.0517	1
48	0.8229746	1.977025	46.0517	2	46.0517	1
49	0.7446582	2.055342	46.0517	2	46.0517	1
50	0.6737946	2.126205	46.0517	2	46.0517	1
51	0.6096745	2.190325	46.0517	2	46.0517	1
52	0.5516565	2.248343	46.0517	2	46.0517	1
53	0.4991594	2.300841	46.0517	2	46.0517	1
54	0.4516581	2.348342	46.0517	2	46.0517	1
55	0.4086771	2.391323	46.0517	2	46.0517	1
56	0.3697864	2.430214	46.0517	2	46.0517	1
57	0.3345965	2.465403	46.0517	2	46.0517	1
58	0.3027555	2.497244	46.0517	2	46.0517	1
59	0.2739445	2.526055	46.0517	2	46.0517	1
60	0.2478752	2.552125	46.0517	2	46.0517	1
61	0.2242868	2.575713	46.0517	2	46.0517	1
62	0.2029431	2.597057	46.0517	2	46.0517	1
63	0.1836305	2.616369	46.0517	2	46.0517	1
64	0.1661557	2.633844	46.0517	2	46.0517	1
65	0.1503439	2.649656	46.0517	2	46.0517	1
66	0.1360368	2.663963	46.0517	2	46.0517	1
67	0.1230912	2.676909	46.0517	2	46.0517	1
68	0.1113775	2.688622	46.0517	2	46.0517	1
69	0.1007785	2.699221	46.0517	2	46.0517	1
70	0.911882	2.788118	69.07755	3	46.0517	1
71	0.8251049	2.874895	69.07755	3	46.0517	1
72	0.7465858	2.953414	69.07755	3	46.0517	1
73	0.6755387	3.024461	69.07755	3	46.0517	1
74	0.6112527	3.088747	69.07755	3	46.0517	1
75	0.5530844	3.146916	69.07755	3	46.0517	1
76	0.5004514	3.199549	69.07755	3	46.0517	1
77	0.4528272	3.247173	69.07755	3	46.0517	1
78	0.409735	3.290265	69.07755	3	46.0517	1
79	0.3707436	3.329256	69.07755	3	46.0517	1
80	0.3354627	3.364537	69.07755	3	46.0517	1
81	0.3035392	3.396461	69.07755	3	46.0517	1
82	0.2746536	3.425346	69.07755	3	46.0517	1
83	0.2485168	3.451483	69.07755	3	46.0517	1
84	0.2248673	3.475133	69.07755	3	46.0517	1
85	0.2034684	3.496532	69.07755	3	46.0517	1
86	0.1841058	3.515894	69.07755	3	46.0517	1
87	0.1665858	3.533414	69.07755	3	46.0517	1
88	0.1507331	3.549267	69.07755	3	46.0517	1
89	0.1363889	3.563611	69.07755	3	46.0517	1
90	0.1234098	3.57659	69.07755	3	46.0517	1
91	0.1116658	3.588334	69.07755	3	46.0517	1
92	0.1010394	3.598961	69.07755	3	46.0517	1
93	0.9142424	3.685758	92.1034	4	46.0517	1
94	0.8272408	3.772759	92.1034	4	46.0517	1
95	0.7485184	3.851482	92.1034	4	46.0517	1
96	0.6772874	3.922713	92.1034	4	46.0517	1
97	0.6128349	3.987165	92.1034	4	46.0517	1
98	0.5545161	4.045484	92.1034	4	46.0517	1
99	0.5017469	4.098253	92.1034	4	46.0517	1
100	0.4539994	4.146001	92.1034	4	46.0517	1
