Time	[S1]	[S2]	[S3]	Values[Event Time 1]	Values[Event Time 2]	Values[Event Counter]
0	1	2	1	0	0	0
0.1	0.8890943	1.889094	1.110906	0	0	0
0.2	0.8013224	1.801322	1.198678	0	0	0
0.3	0.7309283	1.730928	1.269072	0	0	0
0.4	0.6738663	1.673866	1.326134	0	0	0
0.5	0.6272104	1.62721	1.37279	0	0	0
0.6	0.588793	1.588793	1.411207	0	0	0
0.7	0.5569751	1.556975	1.443025	0	0	0
0.8	0.5304962	1.530496	1.469504	0	0	0
0.9	0.5083721	1.508372	1.491628	0	0	0
1	0.5	1	1.5	0.9429889	0	1
1.1	0.5	1	1.5	0.9429889	0	1
1.2	0.5	1	1.5	0.9429889	0	1
1.3	0.5	1	1.5	0.9429889	0	1
1.4	0.9231428	1.923143	1.076857	0.9429889	1.333333	2
1.5	0.8284072	1.828407	1.171593	0.9429889	1.333333	2
1.6	0.7527394	1.752739	1.247261	0.9429889	1.333333	2
1.7	0.6916047	1.691605	1.308395	0.9429889	1.333333	2
1.8	0.6417527	1.641753	1.358247	0.9429889	1.333333	2
1.9	0.6007936	1.600793	1.399206	0.9429889	1.333333	2
2	0.5669321	1.566932	1.433068	0.9429889	1.333333	2
2.1	0.5387948	1.538795	1.461205	0.9429889	1.333333	2
2.2	0.5153146	1.515315	1.484685	0.9429889	1.333333	2
2.3	0.5	1	1.5	2.276322	1.333333	3
2.4	0.5	1	1.5	2.276322	1.333333	3
2.5	0.5	1	1.5	2.276322	1.333333	3
2.6	0.5	1	1.5	2.276322	1.333333	3
2.7	0.5	1	1.5	2.276322	1.333333	3
2.8	0.5	1	1.5	2.276322	1.333333	3
2.9	0.5	1	1.5	2.276322	1.333333	3
3	0.5	1	1.5	2.276322	1.333333	3
3.1	0.5	1	1.5	2.276322	1.333333	3
3.2	0.5	1	1.5	2.276322	1.333333	3
3.3	0.5	1	1.5	2.276322	1.333333	3
3.4	0.5	1	1.5	2.276322	1.333333	3
3.5	0.5	1	1.5	2.276322	1.333333	3
3.6	0.5	1	1.5	2.276322	1.333333	3
3.7	0.5	1	1.5	2.276322	1.333333	3
3.8	0.5	1	1.5	2.276322	1.333333	3
3.9	0.5	1	1.5	2.276322	1.333333	3
4	0.5	1	1.5	2.276322	1.333333	3
4.1	0.5	1	1.5	2.276322	1.333333	3
4.2	0.5	1	1.5	2.276322	1.333333	3
4.3	0.5	1	1.5	2.276322	1.333333	3
4.4	0.5	1	1.5	2.276322	1.333333	3
4.5	0.5	1	1.5	2.276322	1.333333	3
4.6	0.5	1	1.5	2.276322	1.333333	3
4.7	0.5	1	1.5	2.276322	1.333333	3
4.8	0.5	1	1.5	2.276322	1.333333	3
4.9	0.5	1	1.5	2.276322	1.333333	3
5	0.5	1	1.5	2.276322	1.333333	3
