New Model[Time]	A[Concentration]	B[Concentration]	C[Concentration]	K1[Value]
0	0.1	5	0	10
0.5	4.97706	4.75615	0.243853	9.51229
1	9.61626	4.52419	0.475813	9.04837
1.5	14.0292	4.30354	0.69646	8.60708
2	18.2269	4.09365	0.906346	8.18731
2.5	22.2199	3.894	1.106	7.78801
3	26.0182	3.70409	1.29591	7.40818
3.5	29.6312	3.52344	1.47656	7.04688
4	33.068	3.3516	1.6484	6.7032
4.5	36.3372	3.18814	1.81186	6.37628
5	39.4469	3.03265	1.96735	6.06531
5.5	42.405	2.88475	2.11525	5.7695
6	45.2188	2.74406	2.25594	5.48812
6.5	47.8954	2.61023	2.38977	5.22046
7	50.4415	2.48293	2.51707	4.96585
7.5	52.8633	2.36183	2.63817	4.72367
8	55.1671	2.24665	2.75335	4.49329
8.5	57.3585	2.13708	2.86292	4.27415
9	59.443	2.03285	2.96715	4.0657
9.5	61.4259	1.93371	3.06629	3.86741
10	63.312	1.8394	3.1606	3.6788
10.5	65.1062	1.74969	3.25031	3.49938
11	66.8129	1.66436	3.33564	3.32871
11.5	68.4363	1.58319	3.41681	3.16637
12	69.9805	1.50597	3.49403	3.01195
12.5	71.4495	1.43253	3.56747	2.86505
13	72.8467	1.36266	3.63734	2.72533
13.5	74.1759	1.29621	3.70379	2.59241
14	75.4403	1.23299	3.76701	2.46597
14.5	76.6429	1.17285	3.82715	2.34571
15	77.787	1.11565	3.88435	2.2313
15.5	78.8752	1.06124	3.93876	2.12248
16	79.9103	1.00948	3.99052	2.01897
16.5	80.895	0.960251	4.03975	1.9205
17	81.8316	0.913419	4.08658	1.82684
17.5	82.7226	0.868871	4.13113	1.73774
18	83.5701	0.826495	4.1735	1.65299
18.5	84.3763	0.786187	4.21381	1.57237
19	85.1431	0.747844	4.25216	1.49569
19.5	85.8726	0.711371	4.28863	1.42274
20	86.5665	0.676677	4.32332	1.35335
20.5	87.2265	0.643675	4.35632	1.28735
21	87.8543	0.612283	4.38772	1.22457
21.5	88.4516	0.582422	4.41758	1.16484
22	89.0197	0.554017	4.44598	1.10803
22.5	89.5601	0.526997	4.473	1.05399
23	90.0741	0.501295	4.49871	1.00259
23.5	90.5631	0.476847	4.52315	0.953693
24	91.0282	0.45359	4.54641	0.907181
24.5	91.4706	0.431469	4.56853	0.862937
25	91.8915	0.410426	4.58957	0.820851
25.5	92.2918	0.390409	4.60959	0.780818
26	92.6726	0.371369	4.62863	0.742737
26.5	93.0349	0.353257	4.64674	0.706514
27	93.3794	0.336028	4.66397	0.672057
27.5	93.7072	0.31964	4.68036	0.63928
28	94.019	0.304051	4.69595	0.608102
28.5	94.3156	0.289222	4.71078	0.578445
29	94.5977	0.275117	4.72488	0.550233
29.5	94.866	0.261699	4.7383	0.523398
30	95.1213	0.248936	4.75106	0.497872
30.5	95.3641	0.236795	4.7632	0.47359
31	95.5951	0.225247	4.77475	0.450493
31.5	95.8148	0.214261	4.78574	0.428522
32	96.0238	0.203812	4.79619	0.407623
32.5	96.2226	0.193872	4.80613	0.387743
33	96.4117	0.184416	4.81558	0.368833
33.5	96.5916	0.175422	4.82458	0.350845
34	96.7627	0.166867	4.83313	0.333734
34.5	96.9254	0.158729	4.84127	0.317457
35	97.0803	0.150987	4.84901	0.301975
35.5	97.2275	0.143624	4.85638	0.287247
36	97.3676	0.136619	4.86338	0.273238
36.5	97.5009	0.129956	4.87004	0.259912
37	97.6276	0.123618	4.87638	0.247236
37.5	97.7482	0.117589	4.88241	0.235178
38	97.8629	0.111854	4.88815	0.223708
38.5	97.972	0.106399	4.8936	0.212798
39	98.0758	0.10121	4.89879	0.20242
39.5	98.1745	0.0962737	4.90373	0.192547
40	98.2684	0.0915784	4.90842	0.183157
40.5	98.3578	0.0871121	4.91289	0.174224
41	98.4427	0.0828636	4.91714	0.165727
41.5	98.5236	0.0788223	4.92118	0.157645
42	98.6004	0.074978	4.92502	0.149956
42.5	98.6736	0.0713213	4.92868	0.142643
43	98.7431	0.0678429	4.93216	0.135686
43.5	98.8093	0.0645342	4.93547	0.129068
44	98.8723	0.0613868	4.93861	0.122774
44.5	98.9321	0.058393	4.94161	0.116786
45	98.9891	0.0555451	4.94445	0.11109
45.5	99.0433	0.0528361	4.94716	0.105672
46	99.0948	0.0502593	4.94974	0.100519
46.5	99.1438	0.0478081	4.95219	0.0956162
47	99.1905	0.0454765	4.95452	0.0909529
47.5	99.2348	0.0432585	4.95674	0.0865171
48	99.277	0.0411488	4.95885	0.0822976
48.5	99.3172	0.0391419	4.96086	0.0782839
49	99.3553	0.037233	4.96277	0.0744659
49.5	99.3917	0.0354171	4.96458	0.0708342
50	99.4262	0.0336898	4.96631	0.0673796
