New Model[Time]	A[Concentration]	B[Concentration]	C[Concentration]	K1[Value]	K2[Value]	K3[Value]	K4[Value]	K5[Value]
0	0.1	5	0	10	1	6	5	2
0.5	3.03853	4.75615	0.243853	9.51229	1	5.75615	4.75615	2
1	5.85813	4.52419	0.475813	9.04837	1	5.52419	4.52419	2
1.5	8.5646	4.30354	0.69646	8.60708	1	5.30354	4.30354	2
2	11.1635	4.09365	0.906346	8.18731	1	5.09365	4.09365	2
2.5	13.66	3.894	1.106	7.78801	1	4.894	3.894	2
3	16.0591	3.70409	1.29591	7.40818	1	4.70409	3.70409	2
3.5	18.3656	3.52344	1.47656	7.04688	1	4.52344	3.52344	2
4	20.584	3.3516	1.6484	6.7032	1	4.3516	3.3516	2
4.5	22.7186	3.18814	1.81186	6.37628	1	4.18814	3.18814	2
5	24.7735	3.03265	1.96735	6.0653	1	4.03265	3.03265	2
5.5	26.7525	2.88475	2.11525	5.7695	1	3.88475	2.88475	2
6	28.6594	2.74406	2.25594	5.48812	1	3.74406	2.74406	2
6.5	30.4977	2.61023	2.38977	5.22046	1	3.61023	2.61023	2
7	32.2707	2.48293	2.51707	4.96585	1	3.48293	2.48293	2
7.5	33.9817	2.36183	2.63817	4.72367	1	3.36183	2.36183	2
8	35.6335	2.24665	2.75335	4.49329	1	3.24665	2.24665	2
8.5	37.2292	2.13708	2.86292	4.27415	1	3.13708	2.13708	2
9	38.7715	2.03285	2.96715	4.0657	1	3.03285	2.03285	2
9.5	40.2629	1.93371	3.06629	3.86741	1	2.93371	1.93371	2
10	41.706	1.8394	3.1606	3.6788	1	2.8394	1.8394	2
10.5	43.1031	1.74969	3.25031	3.49938	1	2.74969	1.74969	2
11	44.4564	1.66436	3.33564	3.32871	1	2.66436	1.66436	2
11.5	45.7682	1.58318	3.41682	3.16637	1	2.58318	1.58318	2
12	47.0403	1.50597	3.49403	3.01194	1	2.50597	1.50597	2
12.5	48.2747	1.43253	3.56747	2.86505	1	2.43253	1.43253	2
13	49.4734	1.36266	3.63734	2.72532	1	2.36266	1.36266	2
13.5	50.638	1.2962	3.7038	2.59241	1	2.2962	1.2962	2
14	51.7701	1.23299	3.76701	2.46598	1	2.23299	1.23299	2
14.5	52.8715	1.17285	3.82715	2.34571	1	2.17285	1.17285	2
15	53.9435	1.11565	3.88435	2.2313	1	2.11565	1.11565	2
15.5	54.9876	1.06124	3.93876	2.12248	1	2.06124	1.06124	2
16	56.0052	1.00948	3.99052	2.01896	1	2.00948	1.00948	2
16.5	56.9975	0.96025	4.03975	1.9205	1	1.96025	0.96025	2
17	57.9658	0.913419	4.08658	1.82684	1	1.91342	0.913419	2
17.5	58.9113	0.868871	4.13113	1.73774	1	1.86887	0.868871	2
18	59.835	0.826495	4.1735	1.65299	1	1.8265	0.826495	2
18.5	60.7381	0.786186	4.21381	1.57237	1	1.78619	0.786186	2
19	61.6216	0.747843	4.25216	1.49569	1	1.74784	0.747843	2
19.5	62.4863	0.711371	4.28863	1.42274	1	1.71137	0.711371	2
20	63.3332	0.676677	4.32332	1.35335	1	1.67668	0.676677	2
20.5	64.1633	0.643675	4.35633	1.28735	1	1.64367	0.643675	2
21	64.9772	0.612282	4.38772	1.22456	1	1.61228	0.612282	2
21.5	65.7758	0.582421	4.41758	1.16484	1	1.58242	0.582421	2
22	66.5598	0.554016	4.44598	1.10803	1	1.55402	0.554016	2
22.5	67.33	0.526996	4.473	1.05399	1	1.527	0.526996	2
23	68.0871	0.501294	4.49871	1.00259	1	1.50129	0.501294	2
23.5	68.8315	0.476846	4.52315	0.953692	1	1.47685	0.476846	2
24	69.5641	0.45359	4.54641	0.90718	1	1.45359	0.45359	2
24.5	70.2853	0.431468	4.56853	0.862936	1	1.43147	0.431468	2
25	70.9957	0.410425	4.58957	0.82085	1	1.41043	0.410425	2
25.5	71.6959	0.390408	4.60959	0.780817	1	1.39041	0.390408	2
26	72.3863	0.371368	4.62863	0.742736	1	1.37137	0.371368	2
26.5	73.0674	0.353256	4.64674	0.706512	1	1.35326	0.353256	2
27	73.7397	0.336028	4.66397	0.672055	1	1.33603	0.336028	2
27.5	74.4036	0.319639	4.68036	0.639279	1	1.31964	0.319639	2
28	75.0595	0.30405	4.69595	0.608101	1	1.30405	0.30405	2
28.5	75.7078	0.289222	4.71078	0.578443	1	1.28922	0.289222	2
29	76.3488	0.275116	4.72488	0.550232	1	1.27512	0.275116	2
29.5	76.983	0.261699	4.7383	0.523397	1	1.2617	0.261699	2
30	77.6106	0.248935	4.75106	0.497871	1	1.24894	0.248935	2
30.5	78.2321	0.236795	4.76321	0.473589	1	1.23679	0.236795	2
31	78.8475	0.225246	4.77475	0.450492	1	1.22525	0.225246	2
31.5	79.4574	0.214261	4.78574	0.428521	1	1.21426	0.214261	2
32	80.0619	0.203811	4.79619	0.407622	1	1.20381	0.203811	2
32.5	80.6613	0.193871	4.80613	0.387742	1	1.19387	0.193871	2
33	81.2558	0.184416	4.81558	0.368832	1	1.18442	0.184416	2
33.5	81.8458	0.175422	4.82458	0.350844	1	1.17542	0.175422	2
34	82.4313	0.166866	4.83313	0.333733	1	1.16687	0.166866	2
34.5	83.0127	0.158728	4.84127	0.317456	1	1.15873	0.158728	2
35	83.5901	0.150987	4.84901	0.301974	1	1.15099	0.150987	2
35.5	84.1638	0.143623	4.85638	0.287246	1	1.14362	0.143623	2
36	84.7338	0.136619	4.86338	0.273237	1	1.13662	0.136619	2
36.5	85.3004	0.129956	4.87004	0.259911	1	1.12996	0.129956	2
37	85.8638	0.123618	4.87638	0.247235	1	1.12362	0.123618	2
37.5	86.4241	0.117589	4.88241	0.235177	1	1.11759	0.117589	2
38	86.9815	0.111854	4.88815	0.223708	1	1.11185	0.111854	2
38.5	87.536	0.106399	4.8936	0.212797	1	1.1064	0.106399	2
39	88.0879	0.10121	4.89879	0.202419	1	1.10121	0.10121	2
39.5	88.6373	0.0962735	4.90373	0.192547	1	1.09627	0.0962735	2
40	89.1842	0.0915782	4.90842	0.183156	1	1.09158	0.0915782	2
40.5	89.7289	0.0871118	4.91289	0.174224	1	1.08711	0.0871118	2
41	90.2714	0.0828634	4.91714	0.165727	1	1.08286	0.0828634	2
41.5	90.8118	0.0788221	4.92118	0.157644	1	1.07882	0.0788221	2
42	91.3502	0.0749779	4.92502	0.149956	1	1.07498	0.0749779	2
42.5	91.8868	0.0713212	4.92868	0.142642	1	1.07132	0.0713212	2
43	92.4216	0.0678428	4.93216	0.135686	1	1.06784	0.0678428	2
43.5	92.9547	0.0645341	4.93547	0.129068	1	1.06453	0.0645341	2
44	93.4861	0.0613867	4.93861	0.122773	1	1.06139	0.0613867	2
44.5	94.0161	0.0583928	4.94161	0.116786	1	1.05839	0.0583928	2
45	94.5446	0.055545	4.94446	0.11109	1	1.05554	0.055545	2
45.5	95.0716	0.052836	4.94716	0.105672	1	1.05284	0.052836	2
46	95.5974	0.0502592	4.94974	0.100518	1	1.05026	0.0502592	2
46.5	96.1219	0.047808	4.95219	0.095616	1	1.04781	0.047808	2
47	96.6452	0.0454764	4.95452	0.0909528	1	1.04548	0.0454764	2
47.5	97.1674	0.0432585	4.95674	0.086517	1	1.04326	0.0432585	2
48	97.6885	0.0411487	4.95885	0.0822975	1	1.04115	0.0411487	2
48.5	98.2086	0.0391419	4.96086	0.0782838	1	1.03914	0.0391419	2
49	98.7277	0.0372329	4.96277	0.0744658	1	1.03723	0.0372329	2
49.5	99.2458	0.035417	4.96458	0.0708341	1	1.03542	0.035417	2
50	99.7631	0.0336897	4.96631	0.0673795	1	1.03369	0.0336897	2
