New Model[Time]	K1[Value]
0	0
0.5	1
1	2
1.5	3
2	4
2.5	5
3	6
3.5	7
4	8
4.5	9
5	10
5.5	11
6	12
6.5	13
7	14
7.5	15
8	16
8.5	17
9	18
9.5	19
10	20
10.5	21
11	22
11.5	23
12	24
12.5	25
13	26
13.5	27
14	28
14.5	29
15	30
15.5	31
16	32
16.5	33
17	34
17.5	35
18	36
18.5	37
19	38
19.5	39
20	40
20.5	41
21	42
21.5	43
22	44
22.5	45
23	46
23.5	47
24	48
24.5	49
25	50
25.5	51
26	52
26.5	53
27	54
27.5	55
28	56
28.5	57
29	58
29.5	59
30	60
30.5	61
31	62
31.5	63
32	64
32.5	65
33	66
33.5	67
34	68
34.5	69
35	70
35.5	71
36	72
36.5	73
37	74
37.5	75
38	76
38.5	77
39	78
39.5	79
40	80
40.5	81
41	82
41.5	83
42	84
42.5	85
43	86
43.5	87
44	88
44.5	89
45	90
45.5	91
46	92
46.5	93
47	94
47.5	95
48	96
48.5	97
49	98
49.5	99
50	100
