New Model[Time]	A[Concentration]	B[Concentration]	C[Concentration]	K1[Value]	K2[Value]	K3[Value]	K4[Value]	K5[Value]
5	30.9333	3.03265	1.96735	0	2.5	14.5	2.5	0
10	186.767	1.8394	3.1606	0	5	52	5	0
15	592.6	1.11565	3.88435	0	7.5	114.5	7.5	0
20	1373.43	0.676679	4.32332	0	10	202	10	0
25	2654.27	0.410427	4.58957	0	12.5	314.5	12.5	0
30	4560.1	0.248937	4.75106	0	15	452	15	0
35	7215.93	0.150988	4.84901	0	17.5	614.5	17.5	0
40	10746.8	0.091579	4.90842	0	20	802	20	0
45	15277.6	0.0555456	4.94445	0	22.5	1014.5	22.5	0
50	20933.4	0.0336901	4.96631	0	25	1252	25	0
55	27839.3	0.0204341	4.97957	0	27.5	1514.5	27.5	0
60	36120.1	0.0123939	4.98761	0	30	1802	30	0
65	45900.9	0.00751732	4.99248	0	32.5	2114.5	32.5	0
70	57306.8	0.00455949	4.99544	0	35	2452	35	0
75	70462.6	0.00276548	4.99723	0	37.5	2814.5	37.5	0
80	85493.4	0.00167735	4.99832	0	40	3202	40	0
85	102524	0.00101736	4.99898	0	42.5	3614.5	42.5	0
90	121680	0.000617064	4.99938	0	45	4052	45	0
95	143086	0.000374269	4.99963	0	47.5	4514.5	47.5	0
100	166867	0.000227006	4.99977	0	50	5002	50	0
105	193148	0.000137686	4.99986	0	52.5	5514.5	52.5	0
110	222053	8.3511e-05	4.99992	0	55	6052	55	0
115	253709	5.0652e-05	4.99995	0	57.5	6614.5	57.5	0
120	288240	3.07221e-05	4.99997	0	60	7202	60	0
125	325771	1.86339e-05	4.99998	0	62.5	7814.5	62.5	0
130	366427	1.1302e-05	4.99999	0	65	8452	65	0
135	410333	6.85505e-06	4.99999	0	67.5	9114.5	67.5	0
140	457613	4.1578e-06	5	0	70	9802	70	0
145	508394	2.52184e-06	5	0	72.5	10514.5	72.5	0
150	562800	1.52957e-06	5	0	75	11252	75	0
155	620956	9.27736e-07	5	0	77.5	12014.5	77.5	0
160	682987	5.62702e-07	5	0	80	12802	80	0
165	749018	3.41297e-07	5	0	82.5	13614.5	82.5	0
170	819173	2.07008e-07	5	0	85	14452	85	0
175	893579	1.25557e-07	5	0	87.5	15314.5	87.5	0
180	972360	7.61553e-08	5	0	90	16202	90	0
185	1.05564e+06	4.61911e-08	5	0	92.5	17114.5	92.5	0
190	1.14355e+06	2.80169e-08	5	0	95	18052	95	0
195	1.2362e+06	1.69935e-08	5	0	97.5	19014.5	97.5	0
200	1.33373e+06	1.03076e-08	5	0	100	20002	100	0
205	1.43626e+06	6.25217e-09	5	0	102.5	21014.5	102.5	0
210	1.54392e+06	3.79252e-09	5	0	105	22052	105	0
215	1.65683e+06	2.3006e-09	5	0	107.5	23114.5	107.5	0
220	1.77511e+06	1.39554e-09	5	0	110	24202	110	0
225	1.89889e+06	8.46716e-10	5	0	112.5	25314.5	112.5	0
230	2.02829e+06	5.13915e-10	5	0	115	26452	115	0
235	2.16345e+06	3.11914e-10	5	0	117.5	27614.5	117.5	0
240	2.30448e+06	1.89303e-10	5	0	120	28802	120	0
245	2.45151e+06	1.15058e-10	5	0	122.5	30014.5	122.5	0
250	2.60467e+06	7.00192e-11	5	0	125	31252	125	0
255	2.76407e+06	4.25666e-11	5	0	127.5	32514.5	127.5	0
260	2.92985e+06	2.58477e-11	5	0	130	33802	130	0
265	3.10213e+06	1.57401e-11	5	0	132.5	35114.5	132.5	0
270	3.28104e+06	9.69552e-12	5	0	135	36452	135	0
275	3.4667e+06	6.10135e-12	5	0	137.5	37814.5	137.5	0
280	3.65923e+06	3.83126e-12	5	0	140	39202	140	0
285	3.85876e+06	2.36119e-12	5	0	142.5	40614.5	142.5	0
290	4.06541e+06	1.43017e-12	5	0	145	42052	145	0
295	4.27932e+06	8.69527e-13	5	0	147.5	43514.5	147.5	0
300	4.5006e+06	5.50962e-13	5	0	150	45002	150	0
305	4.72938e+06	4.67991e-13	5	0	152.5	46514.5	152.5	0
310	4.96579e+06	3.96221e-13	5	0	155	48052	155	0
315	5.20994e+06	4.13303e-13	5	0	157.5	49614.5	157.5	0
320	5.46197e+06	3.46395e-13	5	0	160	51202	160	0
325	5.722e+06	2.69262e-13	5	0	162.5	52814.5	162.5	0
330	5.99016e+06	1.73214e-13	5	0	165	54452	165	0
335	6.26657e+06	6.93074e-14	5	0	167.5	56114.5	167.5	0
340	6.55135e+06	1.50503e-14	5	0	170	57802	170	0
345	6.84463e+06	-8.81773e-15	5	0	172.5	59514.5	172.5	0
350	7.14653e+06	-6.41989e-15	5	0	175	61252	175	0
355	7.45719e+06	2.49549e-14	5	0	177.5	63014.5	177.5	0
360	7.77672e+06	3.98965e-14	5	0	180	64802	180	0
365	8.10525e+06	1.16497e-13	5	0	182.5	66614.5	182.5	0
370	8.44291e+06	1.72694e-13	5	0	185	68452	185	0
375	8.78981e+06	1.59071e-13	5	0	187.5	70314.5	187.5	0
380	9.14609e+06	1.88285e-13	5	0	190	72202	190	0
385	9.51187e+06	1.88023e-13	5	0	192.5	74114.5	192.5	0
390	9.88728e+06	1.44411e-13	5	0	195	76052	195	0
395	1.02724e+07	1.12131e-13	5	0	197.5	78014.5	197.5	0
400	1.06675e+07	7.60012e-14	5	0	200	80002	200	0
405	1.10725e+07	4.42939e-14	5	0	202.5	82014.5	202.5	0
410	1.14877e+07	1.1607e-14	5	0	205	84052	205	0
415	1.19131e+07	-9.49494e-15	5	0	207.5	86114.5	207.5	0
420	1.23488e+07	-1.11439e-14	5	0	210	88202	210	0
425	1.27951e+07	-1.76969e-14	5	0	212.5	90314.5	212.5	0
430	1.3252e+07	-1.59953e-14	5	0	215	92452	215	0
435	1.37197e+07	-8.30641e-15	5	4.58145e-30	217.5	94614.5	217.5	0
440	1.41982e+07	8.839e-15	5	3.03485e-29	220	96802	220	0
445	1.46877e+07	2.63651e-14	5	6.7614e-29	222.5	99014.5	222.5	0
450	1.51884e+07	4.05996e-14	5	1.18015e-28	225	101252	225	0
455	1.57003e+07	4.78698e-14	5	1.83189e-28	227.5	103515	227.5	0
460	1.62236e+07	4.45035e-14	5	2.64771e-28	230	105802	230	0
465	1.67584e+07	4.11492e-14	5	3.42754e-28	232.5	108115	232.5	0
470	1.73048e+07	4.93786e-14	5	3.95733e-28	235	110452	235	0
475	1.78629e+07	5.44769e-14	5	4.42034e-28	237.5	112815	237.5	0
480	1.8433e+07	5.53314e-14	5	4.79426e-28	240	115202	240	0
485	1.9015e+07	5.08297e-14	5	5.05676e-28	242.5	117615	242.5	0
490	1.96091e+07	3.9859e-14	5	5.18553e-28	245	120052	245	0
495	2.02156e+07	3.22115e-14	5	5.39323e-28	247.5	122515	247.5	0
500	2.08343e+07	2.83505e-14	5	5.69152e-28	250	125002	250	0
