New Model[Time]	A[Concentration]	B[Concentration]	C[Concentration]	K1[Value]
0.5	0.141667	4.75615	0.243853	0.250001
1	0.433335	4.52419	0.475813	1
1.5	1.225	4.30354	0.696458	2.25
2	2.76667	4.09366	0.906341	4
2.5	5.30834	3.89401	1.10599	6.25
3	9.1	3.7041	1.2959	9
3.5	14.3917	3.52345	1.47655	12.25
4	21.4333	3.3516	1.6484	16
4.5	30.475	3.18814	1.81186	20.25
5	41.7667	3.03266	1.96734	25
5.5	55.5583	2.88475	2.11525	30.25
6	72.1	2.74406	2.25594	36
6.5	91.6417	2.61023	2.38977	42.25
7	114.433	2.48293	2.51707	49
7.5	140.725	2.36183	2.63817	56.25
8	170.767	2.24664	2.75336	64
8.5	204.808	2.13707	2.86293	72.25
9	243.1	2.03285	2.96715	81
9.5	285.892	1.9337	3.0663	90.25
10	333.433	1.8394	3.1606	100
10.5	385.975	1.74969	3.25031	110.25
11	443.767	1.66436	3.33564	121
11.5	507.058	1.58318	3.41682	132.25
12	576.1	1.50597	3.49403	144
12.5	651.142	1.43252	3.56748	156.25
13	732.433	1.36266	3.63734	169
13.5	820.225	1.2962	3.7038	182.25
14	914.767	1.23299	3.76701	196
14.5	1016.31	1.17285	3.82715	210.25
15	1125.1	1.11565	3.88435	225
15.5	1241.39	1.06124	3.93876	240.25
16	1365.43	1.00948	3.99052	256
16.5	1497.48	0.960251	4.03975	272.25
17	1637.77	0.913419	4.08658	289
17.5	1786.56	0.868871	4.13113	306.25
18	1944.1	0.826496	4.1735	324
18.5	2110.64	0.786187	4.21381	342.25
19	2286.43	0.747845	4.25216	361
19.5	2471.73	0.711372	4.28863	380.25
20	2666.77	0.676678	4.32332	400
20.5	2871.81	0.643676	4.35632	420.25
21	3087.1	0.612284	4.38772	441
21.5	3312.89	0.582423	4.41758	462.25
22	3549.43	0.554018	4.44598	484
22.5	3796.98	0.526998	4.473	506.25
23	4055.77	0.501296	4.4987	529
23.5	4326.06	0.476848	4.52315	552.25
24	4608.1	0.453591	4.54641	576
24.5	4902.14	0.43147	4.56853	600.25
25	5208.43	0.410427	4.58957	625
25.5	5527.23	0.39041	4.60959	650.25
26	5858.77	0.371369	4.62863	676
26.5	6203.31	0.353258	4.64674	702.25
27	6561.1	0.336029	4.66397	729
27.5	6932.39	0.319641	4.68036	756.25
28	7317.43	0.304052	4.69595	784
28.5	7716.48	0.289223	4.71078	812.25
29	8129.77	0.275118	4.72488	841
29.5	8557.56	0.2617	4.7383	870.25
30	9000.1	0.248937	4.75106	900
30.5	9457.64	0.236796	4.7632	930.25
31	9930.43	0.225247	4.77475	961
31.5	10418.7	0.214262	4.78574	992.25
32	10922.8	0.203812	4.79619	1024
32.5	11442.8	0.193872	4.80613	1056.25
33	11979.1	0.184417	4.81558	1089
33.5	12531.9	0.175423	4.82458	1122.25
34	13101.4	0.166867	4.83313	1156
34.5	13688	0.158729	4.84127	1190.25
35	14291.8	0.150988	4.84901	1225
35.5	14913.1	0.143624	4.85638	1260.25
36	15552.1	0.13662	4.86338	1296
36.5	16209.1	0.129957	4.87004	1332.25
37	16884.4	0.123619	4.87638	1369
37.5	17578.2	0.11759	4.88241	1406.25
38	18290.8	0.111855	4.88815	1444
38.5	19022.3	0.1064	4.8936	1482.25
39	19773.1	0.10121	4.89879	1521
39.5	20543.4	0.0962743	4.90373	1560.25
40	21333.4	0.091579	4.90842	1600
40.5	22143.5	0.0871126	4.91289	1640.25
41	22973.8	0.0828641	4.91714	1681
41.5	23824.6	0.0788228	4.92118	1722.25
42	24696.1	0.0749786	4.92502	1764
42.5	25588.6	0.0713218	4.92868	1806.25
43	26502.4	0.0678434	4.93216	1849
43.5	27437.7	0.0645347	4.93547	1892.25
44	28394.8	0.0613873	4.93861	1936
44.5	29373.8	0.0583934	4.94161	1980.25
45	30375.1	0.0555455	4.94445	2025
45.5	31398.9	0.0528365	4.94716	2070.25
46	32445.4	0.0502597	4.94974	2116
46.5	33515	0.0478085	4.95219	2162.25
47	34607.8	0.0454769	4.95452	2209
47.5	35724.1	0.0432589	4.95674	2256.25
48	36864.1	0.0411492	4.95885	2304
48.5	38028.1	0.0391423	4.96086	2352.25
49	39216.4	0.0372333	4.96277	2401
49.5	40429.2	0.0354174	4.96458	2450.25
50	41666.8	0.0336901	4.96631	2500
