New Model[Time]	A[ParticleNumber]	B[ParticleNumber]
0	100	0
0.25	94	6
0.5	88	12
0.75	81	19
1	68	32
1.25	62	38
1.5	52	48
1.75	47	53
2	36	64
2.25	31	69
2.5	28	72
2.75	26	74
3	21	79
3.25	19	81
3.5	16	84
3.75	14	86
4	10	90
4.25	9	91
4.5	8	92
4.75	8	92
5	7	93

0	100	0
0.25	86	14
0.5	81	19
0.75	74	26
1	64	36
1.25	59	41
1.5	52	48
1.75	45	55
2	36	64
2.25	31	69
2.5	28	72
2.75	27	73
3	22	78
3.25	20	80
3.5	18	82
3.75	18	82
4	17	83
4.25	17	83
4.5	15	85
4.75	12	88
5	9	91

0	100	0
0.25	90	10
0.5	83	17
0.75	71	29
1	62	38
1.25	55	45
1.5	48	52
1.75	45	55
2	45	55
2.25	36	64
2.5	30	70
2.75	28	72
3	21	79
3.25	15	85
3.5	11	89
3.75	10	90
4	9	91
4.25	8	92
4.5	7	93
4.75	5	95
5	5	95

0	100	0
0.25	89	11
0.5	79	21
0.75	70	30
1	64	36
1.25	58	42
1.5	51	49
1.75	45	55
2	40	60
2.25	34	66
2.5	28	72
2.75	22	78
3	21	79
3.25	21	79
3.5	19	81
3.75	19	81
4	15	85
4.25	11	89
4.5	11	89
4.75	9	91
5	8	92

0	100	0
0.25	90	10
0.5	77	23
0.75	65	35
1	59	41
1.25	54	46
1.5	49	51
1.75	43	57
2	38	62
2.25	37	63
2.5	32	68
2.75	28	72
3	20	80
3.25	18	82
3.5	16	84
3.75	16	84
4	15	85
4.25	15	85
4.5	13	87
4.75	12	88
5	9	91

0	100	0
0.25	86	14
0.5	72	28
0.75	67	33
1	61	39
1.25	53	47
1.5	49	51
1.75	41	59
2	36	64
2.25	28	72
2.5	25	75
2.75	21	79
3	19	81
3.25	16	84
3.5	15	85
3.75	12	88
4	8	92
4.25	7	93
4.5	6	94
4.75	5	95
5	5	95

0	100	0
0.25	89	11
0.5	81	19
0.75	71	29
1	59	41
1.25	51	49
1.5	44	56
1.75	38	62
2	35	65
2.25	31	69
2.5	29	71
2.75	25	75
3	21	79
3.25	20	80
3.5	19	81
3.75	17	83
4	15	85
4.25	14	86
4.5	12	88
4.75	10	90
5	9	91

0	100	0
0.25	87	13
0.5	74	26
0.75	64	36
1	58	42
1.25	49	51
1.5	42	58
1.75	40	60
2	35	65
2.25	32	68
2.5	28	72
2.75	26	74
3	21	79
3.25	18	82
3.5	16	84
3.75	15	85
4	14	86
4.25	10	90
4.5	9	91
4.75	7	93
5	6	94

0	100	0
0.25	87	13
0.5	75	25
0.75	72	28
1	65	35
1.25	54	46
1.5	51	49
1.75	48	52
2	41	59
2.25	39	61
2.5	35	65
2.75	32	68
3	28	72
3.25	25	75
3.5	22	78
3.75	20	80
4	20	80
4.25	19	81
4.5	18	82
4.75	16	84
5	14	86

0	100	0
0.25	92	8
0.5	82	18
0.75	73	27
1	67	33
1.25	61	39
1.5	54	46
1.75	47	53
2	40	60
2.25	36	64
2.5	29	71
2.75	26	74
3	24	76
3.25	22	78
3.5	19	81
3.75	18	82
4	17	83
4.25	16	84
4.5	15	85
4.75	13	87
5	11	89

